GEO_ID,NAME,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M,B03002_013E,B03002_013M,B03002_014E,B03002_014M,B03002_015E,B03002_015M,B03002_016E,B03002_016M,B03002_017E,B03002_017M,B03002_018E,B03002_018M,B03002_019E,B03002_019M,B03002_020E,B03002_020M,B03002_021E,B03002_021M
1500000US360594048003,"Block Group 3, Census Tract 4048, Nassau County, New York",1986,334,1537,303,136,55,1013,271,3,9,335,141,0,12,0,12,50,51,20,36,30,35,449,193,174,95,67,77,0,12,0,12,0,12,188,146,20,20,8,14,12,14
1500000US360594136004,"Block Group 4, Census Tract 4136, Nassau County, New York",1159,219,747,168,520,167,212,118,0,12,15,26,0,12,0,12,0,12,0,12,0,12,412,192,313,163,0,12,0,12,0,12,0,12,70,75,29,55,0,12,29,55
1500000US360594050004,"Block Group 4, Census Tract 4050, Nassau County, New York",997,337,946,342,306,149,306,262,0,12,334,281,0,12,0,12,0,12,0,12,0,12,51,80,12,19,0,12,0,12,0,12,0,12,0,12,39,61,12,19,27,42
1500000US360594143034,"Block Group 4, Census Tract 4143.03, Nassau County, New York",1108,482,816,434,213,97,538,404,0,12,0,12,0,12,0,12,65,92,0,12,65,92,292,267,30,36,40,61,0,12,0,12,0,12,119,211,103,212,0,12,103,212
1500000US360595197024,"Block Group 4, Census Tract 5197.02, Nassau County, New York",919,236,917,236,671,213,42,52,0,12,204,157,0,12,0,12,0,12,0,12,0,12,2,3,0,12,0,12,0,12,0,12,0,12,2,3,0,12,0,12,0,12
1500000US360594091002,"Block Group 2, Census Tract 4091, Nassau County, New York",785,206,749,198,605,178,0,12,0,12,110,125,0,12,19,33,15,16,0,12,15,16,36,41,0,12,0,12,0,12,0,12,0,12,36,41,0,12,0,12,0,12
1500000US360593010004,"Block Group 4, Census Tract 3010, Nassau County, New York",886,154,847,153,765,165,2,4,1,4,79,58,0,12,0,12,0,12,0,12,0,12,39,43,19,20,0,12,0,12,0,12,0,12,3,11,17,27,0,12,17,27
1500000US360594094002,"Block Group 2, Census Tract 4094, Nassau County, New York",1637,330,1430,294,1358,292,0,12,0,12,6,12,0,12,39,45,27,30,11,19,16,23,207,133,163,123,0,12,0,12,0,12,0,12,0,12,44,51,17,29,27,42
1500000US360594064002,"Block Group 2, Census Tract 4064, Nassau County, New York",994,345,953,333,953,333,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,41,46,41,46,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360593032022,"Block Group 2, Census Tract 3032.02, Nassau County, New York",747,242,700,243,404,174,0,12,0,12,285,220,0,12,11,16,0,12,0,12,0,12,47,57,47,57,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360595178011,"Block Group 1, Census Tract 5178.01, Nassau County, New York",1447,166,1405,162,1331,168,0,12,0,12,50,33,0,12,0,12,24,25,0,12,24,25,42,33,42,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360595219024,"Block Group 4, Census Tract 5219.02, Nassau County, New York",992,209,981,208,981,208,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,11,19,11,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360595197022,"Block Group 2, Census Tract 5197.02, Nassau County, New York",762,222,762,222,656,212,0,12,0,12,106,111,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360595196013,"Block Group 3, Census Tract 5196.01, Nassau County, New York",768,226,768,226,493,227,0,12,0,12,275,148,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360593029004,"Block Group 4, Census Tract 3029, Nassau County, New York",1238,290,1174,283,777,207,0,12,0,12,378,202,0,12,0,12,19,31,0,12,19,31,64,41,64,41,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360594145011,"Block Group 1, Census Tract 4145.01, Nassau County, New York",1598,527,1423,556,742,191,540,529,0,12,0,12,0,12,0,12,141,131,0,12,141,131,175,129,156,126,0,12,0,12,0,12,0,12,19,20,0,12,0,12,0,12
1500000US360594078011,"Block Group 1, Census Tract 4078.01, Nassau County, New York",1764,381,1435,285,954,224,203,276,0,12,278,181,0,12,0,12,0,12,0,12,0,12,329,220,51,52,0,12,0,12,0,12,0,12,278,229,0,12,0,12,0,12
1500000US360594114005,"Block Group 5, Census Tract 4114, Nassau County, New York",1521,556,1338,524,1338,524,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,183,187,0,12,0,12,0,12,0,12,0,12,183,187,0,12,0,12,0,12
1500000US360594162012,"Block Group 2, Census Tract 4162.01, Nassau County, New York",1217,248,1091,246,928,248,73,55,46,58,44,58,0,12,0,12,0,12,0,12,0,12,126,109,57,60,0,12,0,12,0,12,0,12,50,77,19,43,0,12,19,43
1500000US360593042041,"Block Group 1, Census Tract 3042.04, Nassau County, New York",1473,527,575,267,19,26,520,237,0,12,0,12,0,12,0,12,36,59,0,12,36,59,898,523,283,235,28,39,0,12,0,12,0,12,587,452,0,12,0,12,0,12
1500000US360594147002,"Block Group 2, Census Tract 4147, Nassau County, New York",1486,283,1414,275,1287,258,52,74,0,12,32,49,0,12,0,12,43,83,0,12,43,83,72,65,72,65,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360593040011,"Block Group 1, Census Tract 3040.01, Nassau County, New York",1190,162,1066,156,850,157,0,12,0,12,181,121,0,12,0,12,35,35,0,12,35,35,124,66,116,64,0,12,0,12,0,12,0,12,0,12,8,13,0,12,8,13
1500000US360594093003,"Block Group 3, Census Tract 4093, Nassau County, New York",1092,268,1028,270,1010,267,0,12,0,12,18,26,0,12,0,12,0,12,0,12,0,12,64,73,64,73,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360595214003,"Block Group 3, Census Tract 5214, Nassau County, New York",1582,309,1560,306,1392,323,0,12,0,12,150,175,0,12,0,12,18,29,0,12,18,29,22,33,22,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360594081004,"Block Group 4, Census Tract 4081, Nassau County, New York",606,138,538,113,538,113,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,68,96,0,12,0,12,0,12,0,12,0,12,29,39,39,60,39,60,0,12
1500000US360594084002,"Block Group 2, Census Tract 4084, Nassau County, New York",928,246,839,257,833,258,6,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,89,108,26,40,0,12,0,12,0,12,0,12,63,108,0,12,0,12,0,12
1500000US360595203004,"Block Group 4, Census Tract 5203, Nassau County, New York",628,203,582,198,582,198,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,46,48,46,48,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US360594135003,"Block Group 3, Census Tract 4135, Nassau County, New York",1254,392,1087,345,273,178,690,356,0,12,29,52,0,12,0,12,95,150,0,12,95,150,167,145,125,132,4,12,0,12,0,12,0,12,38,65,0,12,0,12,0,12
1500000US360594073012,"Block Group 2, Census Tract 4073.01, Nassau County, New York",1370,326,1113,267,631,183,383,142,0,12,56,51,0,12,0,12,43,48,13,19,30,44,257,192,229,202,0,12,0,12,0,12,0,12,21,20,7,14,0,12,7,14
