"R0.values","final.sizes.homogenous","final.sizes.suscep","final.sizes.eps0","final.sizes.eps0.4","final.sizes.eps0.7","hit.homogenous","hit.suscep","hit.eps0","hit.eps0.4","hit.eps0.7"
1.25,0.323,0.2026,0.1413,0.1434,0.1569,0.2,0.1335,0.0999,0.1005,0.106
1.5,0.529,0.3584,0.2604,0.2787,0.3407,0.3334,0.2305,0.1732,0.1801,0.209
1.75,0.6494,0.4611,0.3397,0.3784,0.4817,0.4286,0.3051,0.2298,0.2458,0.303
2,0.72,0.5301,0.3927,0.4512,0.5803,0.5001,0.3649,0.2753,0.302,0.3836
2.25,0.7606,0.577,0.4287,0.5045,0.6474,0.5556,0.4144,0.3131,0.3508,0.4502
2.5,0.784,0.6105,0.4557,0.5451,0.6935,0.6001,0.4564,0.3453,0.3935,0.505
2.75,0.7998,0.6369,0.4799,0.5785,0.726,0.6364,0.4925,0.3731,0.431,0.5508
3,0.8148,0.6607,0.5047,0.6086,0.7506,0.6667,0.5241,0.3976,0.4644,0.5896
3.25,0.8321,0.6841,0.5311,0.6373,0.771,0.6923,0.5521,0.4194,0.4946,0.623
3.5,0.8514,0.7078,0.5584,0.6653,0.7898,0.7143,0.577,0.4391,0.5223,0.6519
3.75,0.871,0.7314,0.5854,0.6926,0.8084,0.7333,0.5994,0.4568,0.5474,0.677
4,0.8895,0.7544,0.6116,0.7188,0.8269,0.7501,0.6196,0.4731,0.5705,0.6987
