"R0.values","final.sizes.homogenous","final.sizes.suscep","final.sizes.eps0","final.sizes.eps0.4","final.sizes.eps0.7","hit.homogenous","hit.suscep","hit.eps0","hit.eps0.4","hit.eps0.7"
1.1,0.1761,0.1165,0.088,0.0874,0.0885,0.0909,0.0588,0.0438,0.043,0.0422
1.2,0.3137,0.212,0.1617,0.1644,0.177,0.1667,0.1103,0.0825,0.0822,0.0839
1.3,0.423,0.2919,0.2244,0.2332,0.2627,0.2308,0.1553,0.1164,0.1174,0.1245
1.4,0.511,0.3598,0.2787,0.2951,0.3429,0.2857,0.195,0.1464,0.1493,0.1645
1.5,0.5828,0.4184,0.3263,0.3512,0.416,0.3334,0.2306,0.1733,0.1786,0.204
1.6,0.642,0.4695,0.3684,0.4023,0.4814,0.3751,0.2625,0.1975,0.2056,0.2429
1.7,0.6912,0.5146,0.4062,0.4489,0.5393,0.4119,0.2916,0.2195,0.2306,0.2804
1.8,0.7324,0.5547,0.4402,0.4914,0.5903,0.4446,0.3181,0.2397,0.2541,0.3165
1.9,0.7672,0.5905,0.4712,0.5303,0.635,0.4738,0.3425,0.2582,0.276,0.3506
