"R0.values","final.sizes.homogenous","final.sizes.suscep","final.sizes.eps0","final.sizes.eps0.4","final.sizes.eps0.7","hit.homogenous","hit.suscep","hit.eps0","hit.eps0.4","hit.eps0.7"
1.25,0.3296,0.2885,0.2601,0.2623,0.2706,0.2,0.177,0.1611,0.1615,0.1648
1.5,0.547,0.4903,0.4509,0.4625,0.4862,0.3334,0.2984,0.2731,0.2771,0.289
1.75,0.6809,0.6193,0.5765,0.5967,0.6284,0.4286,0.3869,0.3557,0.3639,0.3842
2,0.7678,0.7063,0.6635,0.6898,0.7241,0.5001,0.4545,0.4193,0.4317,0.4592
2.25,0.8263,0.7672,0.7259,0.7561,0.7902,0.5557,0.5079,0.4701,0.4862,0.5194
2.5,0.8666,0.8111,0.7719,0.8043,0.8368,0.6001,0.5511,0.5116,0.5312,0.5686
2.75,0.895,0.8433,0.8061,0.8397,0.8703,0.6364,0.5871,0.5464,0.5691,0.6089
3,0.9151,0.867,0.8318,0.866,0.8944,0.6669,0.6172,0.5758,0.6013,0.6428
3.25,0.9294,0.8847,0.851,0.8855,0.9121,0.6925,0.6432,0.6014,0.6293,0.671
3.5,0.9395,0.8976,0.8653,0.8999,0.9249,0.7143,0.6657,0.6235,0.6537,0.6948
3.75,0.9464,0.907,0.8755,0.9104,0.934,0.7334,0.6853,0.643,0.6751,0.7153
4,0.9508,0.9135,0.8826,0.9178,0.9404,0.7503,0.7028,0.6603,0.6942,0.733
