"R0.values","final.sizes.homogenous","final.sizes.suscep","final.sizes.eps0","final.sizes.eps0.4","final.sizes.eps0.7","hit.homogenous","hit.suscep","hit.eps0","hit.eps0.4","hit.eps0.7"
1.1,0.1761,0.156,0.1421,0.1416,0.1424,0.0909,0.0794,0.0719,0.0713,0.071
1.2,0.3137,0.2796,0.2563,0.258,0.2645,0.1667,0.147,0.1336,0.1334,0.1348
1.3,0.423,0.3793,0.3496,0.3547,0.3677,0.2308,0.2048,0.1867,0.1874,0.1915
1.4,0.511,0.4608,0.4269,0.4359,0.4546,0.2858,0.2548,0.2327,0.2347,0.2421
1.5,0.5828,0.5284,0.4918,0.5046,0.5278,0.3334,0.2984,0.2732,0.2766,0.2876
1.6,0.642,0.585,0.5469,0.563,0.5896,0.375,0.337,0.309,0.314,0.3286
1.7,0.6912,0.6328,0.594,0.6132,0.642,0.4119,0.3712,0.3409,0.3474,0.3659
1.8,0.7324,0.6736,0.6346,0.6564,0.6866,0.4446,0.4018,0.3697,0.3778,0.3999
1.9,0.7672,0.7086,0.6699,0.6938,0.7248,0.4738,0.4294,0.3957,0.4052,0.431
