"epsilon","time","HIT"
0,20,0.4996
0.5,20,0.5499
0.7,20,0.6087
0.8,20,0.6665
0.95,20,0.7743
0,50,0.5673
0.5,50,0.6099
0.7,50,0.6483
0.8,50,0.6939
0.95,50,0.7553
0,100,0.5782
0.5,100,0.6205
0.7,100,0.6609
0.8,100,0.6972
0.95,100,0.7244
0,150,0.5804
0.5,150,0.6215
0.7,150,0.6606
0.8,150,0.6814
0.95,150,0.7275
0,200,0.581
0.5,200,0.6211
0.7,200,0.6586
0.8,200,0.6952
0.95,200,0.7182
