"epsilon","init","HIT"
0,1,0.5782
0.5,1,0.6205
0.7,1,0.6609
0.8,1,0.6972
0.95,1,0.7244
0,10,0.578
0.5,10,0.6199
0.7,10,0.6599
0.8,10,0.6961
0.95,10,0.725
0,50,0.5848
0.5,50,0.6261
0.7,50,0.6657
0.8,50,0.6848
0.95,50,0.7152
0,100,0.5962
0.5,100,0.6189
0.7,100,0.6586
0.8,100,0.6778
0.95,100,0.7089
0,500,0.5843
0.5,500,0.6246
0.7,500,0.6636
0.8,500,0.6822
0.95,500,0.7135
