"epsilon","init","HIT"
0,1,0.398
0.5,1,0.5048
0.7,1,0.6033
0.8,1,0.6478
0.95,1,0.7054
0,10,0.4131
0.5,10,0.5047
0.7,10,0.6019
0.8,10,0.6454
0.95,10,0.7036
0,50,0.4043
0.5,50,0.5096
0.7,50,0.6052
0.8,50,0.6474
0.95,50,0.7053
0,100,0.4134
0.5,100,0.5033
0.7,100,0.5979
0.8,100,0.6541
0.95,100,0.6968
0,500,0.4036
0.5,500,0.5054
0.7,500,0.5961
0.8,500,0.6493
0.95,500,0.7053
