"epsilon","time","HIT"
0,20,0.3163
0.5,20,0.364
0.7,20,0.5044
0.8,20,0.5829
0.95,20,0.7739
0,50,0.3848
0.5,50,0.4887
0.7,50,0.5931
0.8,50,0.6402
0.95,50,0.7554
0,100,0.398
0.5,100,0.5048
0.7,100,0.6033
0.8,100,0.6478
0.95,100,0.7054
0,150,0.4154
0.5,150,0.5057
0.7,150,0.6025
0.8,150,0.6509
0.95,150,0.7094
0,200,0.4166
0.5,200,0.5042
0.7,200,0.5973
0.8,200,0.6452
0.95,200,0.7143
