"epsilon","init","HIT"
0,1,0.5851
0.5,1,0.624
0.7,1,0.6615
0.8,1,0.6939
0.95,1,0.7318
0,2,0.5812
0.5,2,0.6102
0.7,2,0.6542
0.8,2,0.6921
0.95,2,0.74
0,3,0.5779
0.5,3,0.6197
0.7,3,0.6589
0.8,3,0.6867
0.95,3,0.728
0,4,0.5774
0.5,4,0.6162
0.7,4,0.6536
0.8,4,0.6856
0.95,4,0.7109
0,5,0.5919
0.5,5,0.6132
0.7,5,0.6663
0.8,5,0.6933
0.95,5,0.7301
