"epsilon","init","HIT"
0,1,0.6622
0.5,1,0.7192
0.7,1,0.7483
0.8,1,0.7948
0.95,1,0.8033
0,10,0.6645
0.5,10,0.7209
0.7,10,0.75
0.8,10,0.7759
0.95,10,0.8056
0,50,0.6706
0.5,50,0.7262
0.7,50,0.7551
0.8,50,0.7807
0.95,50,0.8102
0,100,0.6665
0.5,100,0.7223
0.7,100,0.7514
0.8,100,0.7771
0.95,100,0.8069
0,500,0.6723
0.5,500,0.7271
0.7,500,0.7559
0.8,500,0.7809
0.95,500,0.7903
