"epsilon","init","HIT"
0,1,0.4019
0.5,1,0.5053
0.8,1,0.6456
0.9,1,0.6789
0.99,1,0.6609
0,2,0.4029
0.5,2,0.5001
0.8,2,0.6537
0.9,2,0.6972
0.99,2,0.7068
0,3,0.4085
0.5,3,0.4973
0.8,3,0.6449
0.9,3,0.6771
0.99,3,0.7011
0,4,0.4042
0.5,4,0.508
0.8,4,0.6443
0.9,4,0.6781
0.99,4,0.7484
0,5,0.398
0.5,5,0.502
0.8,5,0.6518
0.9,5,0.689
0.99,5,0.7192
