"epsilon","init","HIT"
0,1,0.4019
0.5,1,0.5053
0.7,1,0.6016
0.8,1,0.6456
0.95,1,0.6945
0,2,0.4029
0.5,2,0.5001
0.7,2,0.603
0.8,2,0.6537
0.95,2,0.7151
0,3,0.4085
0.5,3,0.4973
0.7,3,0.6061
0.8,3,0.6449
0.95,3,0.6929
0,4,0.4042
0.5,4,0.508
0.7,4,0.6041
0.8,4,0.6443
0.95,4,0.6925
0,5,0.398
0.5,5,0.502
0.7,5,0.5976
0.8,5,0.6518
0.95,5,0.7028
