"epsilon","init","HIT"
0,1,0.398
0.5,1,0.5048
0.8,1,0.6478
0.9,1,0.6831
0.99,1,0.7206
0,10,0.4131
0.5,10,0.5047
0.8,10,0.6454
0.9,10,0.6804
0.99,10,0.7211
0,50,0.4043
0.5,50,0.5096
0.8,50,0.6474
0.9,50,0.6817
0.99,50,0.7094
0,100,0.4134
0.5,100,0.5033
0.8,100,0.6541
0.9,100,0.6878
0.99,100,0.7167
0,500,0.4036
0.5,500,0.5054
0.8,500,0.6493
0.9,500,0.6811
0.99,500,0.7123
